Time (s),Power (dBm),Percentage (%)
144.675881386,-59,82
145.277807713,-59,82
145.678093910,-57,86
146.282016754,-45,100
146.682302952,-53,94
147.286225796,-47,100
147.687510490,-55,90
148.288438797,-51,98
148.691719532,-49,100
149.296065331,-59,82
149.695963859,-55,90
150.296892643,-51,98
150.701006889,-55,90
151.302104950,-51,98
151.702385902,-51,98
152.306309223,-53,94
152.706216335,-49,100
153.311160088,-57,86
153.711840630,-57,86
154.312880516,-53,94
154.716161728,-53,94
155.317094326,-51,98
155.720370769,-59,82
156.121655464,-51,98
156.722583771,-49,100
157.122872353,-51,98
157.726792812,-57,86
158.131079674,-47,100
158.731906414,-55,90
159.132286549,-55,90
159.736209869,-51,98
160.136495590,-62,76
160.737450123,-53,94
161.138708591,-55,90
161.740311146,-51,98
162.140921116,-55,90
162.741849422,-53,94
163.146345615,-60,80
163.746058464,-57,86
164.147375584,-51,98
164.751256466,-51,98
165.151584625,-47,100
165.752513409,-47,100
166.153798103,-49,100
166.757696152,-53,94
167.160988808,-47,100
167.761929989,-41,100
168.162216187,-45,100
168.766139030,-45,100
