Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.007424831,4.023106,-14.46423,0.217991,-0.1068673,-0.9184836,-0.3771774,-7.615332,40.01697,23.21233,1002.02
0.012434959,6.17126,-14.10105,0.7682135,-0.1078563,-0.9119833,-0.384147,-7.615332,40.01697,23.21233,1002.02
0.017444611,8.012536,-13.91946,0.584806,-0.1034428,-0.9117929,-0.3893837,-7.615332,40.01697,23.21233,1002.02
0.022454262,9.669684,-14.10105,0.1568552,-0.1038798,-0.9232962,-0.3782935,-7.615332,40.01697,23.21233,1002.02
0.027463913,10.95858,-13.85894,0.2791268,-0.09950581,-0.9272386,-0.3740778,-7.615332,40.01697,23.21233,1002.02
0.032474041,12.37022,-13.31417,0.7682135,-0.1017872,-0.9380406,-0.3730686,-7.615332,40.01697,23.21233,1002.02
0.037483215,13.59774,-11.80093,1.746387,-0.1032956,-0.927088,-0.3827567,-7.615332,40.01697,23.21233,1002.02
0.042493343,13.72049,-11.61935,1.929794,-0.1018683,-0.926625,-0.3808036,-7.615332,40.01697,23.21233,1002.02
0.047502995,13.10673,-11.13511,1.685251,-0.1004334,-0.9246294,-0.3816752,-7.615332,40.01697,23.21233,1002.02
0.052513123,11.63371,-10.95352,1.073893,-0.1003794,-0.9290428,-0.3808816,-5.314802,39.68459,23.17986,1002.02
0.057522297,9.240053,-10.46929,0.7070777,-0.1056343,-0.9370179,-0.3773904,-5.314802,39.68459,23.17986,1002.018
0.062532425,7.460154,-10.40876,0.951621,-0.1109342,-0.9425769,-0.3728468,-5.314802,39.68459,23.17986,1002.018
0.067544460,5.189247,-9.863993,1.135028,-0.1158675,-0.9403353,-0.3675224,-5.314802,39.68459,23.17986,1002.018
0.072551727,3.593474,-9.319228,1.440708,-0.1149368,-0.9404132,-0.3636726,-5.314802,39.68459,23.17986,1002.018
0.077561378,2.181829,-9.07711,1.746387,-0.114044,-0.9385631,-0.3587888,-5.314802,39.68459,23.17986,1002.018
0.082571030,1.813574,-8.471816,1.929794,-0.1203874,-0.9352288,-0.3592021,-5.314802,39.68459,23.17986,1002.018
0.087576866,1.813574,-7.98758,2.663424,-0.1175299,-0.9317716,-0.3590437,-5.314802,39.68459,23.17986,1002.018
0.092586517,2.734212,-7.866521,2.969103,-0.1166071,-0.9248014,-0.3640554,-5.314802,39.68459,23.17986,1002.018
0.097596169,3.532098,-7.684933,3.213647,-0.1155805,-0.924649,-0.369806,-5.314802,39.68459,23.17986,1002.016
0.102605820,4.207233,-7.98758,3.091375,-0.1156135,-0.9227093,-0.369252,-6.458384,40.05166,22.31605,1002.016
0.107615948,5.311998,-8.169168,3.152511,-0.1141479,-0.9221542,-0.3711391,-6.458384,40.05166,22.31605,1002.016
0.112625122,6.048509,-7.866521,3.213647,-0.1184967,-0.9226942,-0.371681,-6.458384,40.05166,22.31605,1002.016
0.117635250,6.969147,-7.927051,3.519326,-0.1135835,-0.9290226,-0.369473,-6.458384,40.05166,22.31605,1002.016
0.122644901,7.276026,-7.745462,3.580462,-0.1155506,-0.9301302,-0.3652092,-6.458384,40.05166,22.31605,1002.016
0.127654552,7.644281,-7.321756,3.947277,-0.1173559,-0.9358971,-0.3702506,-6.458384,40.05166,22.31605,1002.016
