Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.000000000,-0.03625914,2.264199,-1.019627,-0.05305938,-0.3117535,-0.9249055,15.14696,8.293175,48.34212,1002.039
0.005008221,1.743641,2.627375,-1.26417,-0.06020638,-0.345749,-0.9373174,15.86124,7.54388,48.73785,1002.039
0.010016918,4.198675,2.14314,-0.9584911,-0.06325557,-0.3666825,-0.9419865,15.86124,7.54388,48.73785,1002.039
0.015026093,5.671696,1.11414,0.2030897,-0.07110155,-0.3579344,-0.9450909,15.86124,7.54388,48.73785,1002.039
0.020034790,6.653709,0.3877864,1.67035,-0.07515998,-0.3488378,-0.9399781,15.86124,7.54388,48.73785,1002.039
0.025043488,6.776461,-0.2175079,2.159436,-0.07239959,-0.3410709,-0.9362931,15.86124,7.54388,48.73785,1002.039
0.030052662,6.899213,0.327257,2.281708,-0.07728669,-0.3361944,-0.9390366,15.86124,7.54388,48.73785,1002.039
0.035061359,6.653709,0.5088453,2.465116,-0.07961458,-0.3410504,-0.9416458,15.86124,7.54388,48.73785,1002.039
0.040070057,6.285454,0.5693747,2.770795,-0.08306326,-0.3392178,-0.9387255,15.86124,7.54388,48.73785,1002.039
0.045079231,6.162703,0.9325513,2.893066,-0.08489452,-0.3435327,-0.9432313,15.86124,7.54388,48.73785,1002.036
0.050087929,5.978575,1.537846,2.893066,-0.08235579,-0.3487712,-0.9472508,15.86124,7.54388,48.73785,1002.036
0.055096626,6.224079,2.324728,2.770795,-0.07828369,-0.3608639,-0.9495945,15.83671,8.686358,48.35699,1002.036
0.060105801,6.285454,3.051081,2.893066,-0.07343981,-0.356253,-0.9556201,15.83671,8.686358,48.35699,1002.036
0.065114498,5.733071,3.111611,3.015338,-0.06537421,-0.3504862,-0.9466758,15.83671,8.686358,48.35699,1002.036
0.070123196,4.137299,3.777435,2.954202,-0.05875183,-0.3416871,-0.9429152,15.83671,8.686358,48.35699,1002.036
0.075132370,2.05052,3.959023,2.709659,-0.05453689,-0.3298582,-0.9448281,15.83671,8.686358,48.35699,1002.036
0.080141068,-1.018273,4.080082,2.587387,-0.05405792,-0.3328932,-0.9401341,15.83671,8.686358,48.35699,1002.036
0.085149765,-3.841562,4.322199,2.342844,-0.04883632,-0.3239885,-0.9416683,15.83671,8.686358,48.35699,1002.037
0.087654114,-4.946328,4.140611,2.342844,-0.05224183,-0.3220523,-0.9430681,15.83671,8.686358,48.35699,1002.037
0.092662811,-7.58549,4.140611,2.0983,-0.05175756,-0.3230554,-0.9416602,15.83671,8.686358,48.35699,1002.037
0.097671986,-9.672269,4.080082,2.40398,-0.05427282,-0.3197797,-0.9372348,15.83671,8.686358,48.35699,1002.037
0.102684021,-10.77703,3.777435,2.40398,-0.05949593,-0.3251545,-0.9403713,15.44905,8.672841,48.80817,1002.037
0.107689381,-11.69767,3.959023,2.587387,-0.06086893,-0.3290206,-0.9429338,15.44905,8.672841,48.80817,1002.037
0.112698555,-11.51355,3.656376,2.83193,-0.06952255,-0.3365574,-0.9394579,15.44905,8.672841,48.80817,1002.037
0.117707253,-10.65428,4.019552,3.076474,-0.06905218,-0.3355747,-0.9394161,15.44905,8.672841,48.80817,1002.037
0.122715950,-9.733645,4.019552,3.443289,-0.07423136,-0.3474062,-0.9379929,15.44905,8.672841,48.80817,1002.039
0.127725124,-8.260625,4.019552,3.504425,-0.07770199,-0.3471407,-0.930808,15.44905,8.672841,48.80817,1002.039
0.132733822,-6.910356,3.959023,4.054647,-0.07234328,-0.3459836,-0.935038,15.44905,8.672841,48.80817,1002.039
0.137742519,-5.621462,4.140611,4.360326,-0.07429549,-0.3450363,-0.9350203,15.44905,8.672841,48.80817,1002.039
0.142751217,-4.7622,3.959023,4.727141,-0.07092306,-0.3450328,-0.9330665,15.44905,8.672841,48.80817,1002.039
0.147760391,-4.33257,3.777435,5.093956,-0.06809725,-0.3441759,-0.9262804,15.44905,8.672841,48.80817,1002.039
0.152769089,-4.33257,3.959023,5.093956,-0.06761298,-0.345179,-0.9248724,15.46885,7.914539,48.80078,1002.039
0.157777309,-4.700825,4.20114,5.460772,-0.067108,-0.3496659,-0.9207138,15.46885,7.914539,48.80078,1002.039
0.162786961,-4.823576,4.382729,5.644179,-0.06616953,-0.3472012,-0.9210917,15.46885,7.914539,48.80078,1002.039
0.167795658,-5.314583,4.624846,5.76645,-0.07171834,-0.3597735,-0.9297907,15.46885,7.914539,48.80078,1002.039
0.172803879,-5.06908,4.866964,5.705315,-0.07371674,-0.3614611,-0.9217052,15.46885,7.914539,48.80078,1002.039
0.177813530,-4.271194,5.472259,5.949858,-0.07016402,-0.3691014,-0.9267675,15.46885,7.914539,48.80078,1002.039
0.182821751,-3.227804,6.198612,6.010994,-0.07657384,-0.3628979,-0.9246697,15.46885,7.914539,48.80078,1002.039
0.187826633,-1.938911,6.622318,6.07213,-0.06635682,-0.3666863,-0.9232763,15.46885,7.914539,48.80078,1002.039
0.192835808,-0.527266,7.46973,6.07213,-0.06597357,-0.3593505,-0.9234741,15.46885,7.914539,48.80078,1002.039
0.197844505,0.6388754,7.893435,5.827587,-0.05686169,-0.3513648,-0.9250066,15.46885,7.914539,48.80078,1002.039
0.202853203,0.7002512,8.619788,5.583043,-0.04740341,-0.3396654,-0.9182261,14.37853,8.27284,48.72189,1002.038
0.207862377,0.8230029,9.104024,5.216228,-0.04829066,-0.3384736,-0.927799,14.37853,8.27284,48.72189,1002.038
0.212871075,0.5774995,9.4672,5.3385,-0.03998444,-0.3386913,-0.9339758,14.37853,8.27284,48.72189,1002.038
0.217879772,0.4547477,9.346142,5.460772,-0.03555358,-0.3455262,-0.9313111,14.37853,8.27284,48.72189,1002.038
0.222888947,0.331996,9.104024,5.888722,-0.03843872,-0.3440015,-0.9356047,14.37853,8.27284,48.72189,1002.038
0.227897644,0.2706201,8.680318,6.316673,-0.02814544,-0.349626,-0.9390854,14.37853,8.27284,48.72189,1002.038
0.232905865,-0.097635,8.680318,6.744624,-0.03177064,-0.3345878,-0.9371059,14.37853,8.27284,48.72189,1002.038
0.237915516,-0.7113936,8.680318,6.989167,-0.03224077,-0.3345604,-0.9385507,14.37853,8.27284,48.72189,1002.038
0.242924213,-1.202401,9.043494,6.989167,-0.03573138,-0.3277805,-0.9383256,14.37853,8.27284,48.72189,1002.038
0.247932434,-1.325152,8.922436,7.355982,-0.02981087,-0.3340026,-0.9399482,14.37853,8.27284,48.72189,1002.038
0.252942085,-1.632032,9.104024,7.722797,-0.04181218,-0.3384548,-0.9450355,15.14093,8.287312,48.7994,1002.038
0.257950306,-1.141025,9.225082,8.028477,-0.05182519,-0.3432628,-0.9544421,15.14093,8.287312,48.7994,1002.038
0.262959004,-0.956897,8.922436,9.00665,-0.05103165,-0.3355933,-0.9478963,15.14093,8.287312,48.7994,1002.038
0.267968178,-1.938911,8.619788,9.862552,-0.06396922,-0.3153928,-0.942925,15.14093,8.287312,48.7994,1002.038
0.272976875,-3.780186,8.861906,10.963,-0.06460929,-0.3046679,-0.9425231,15.14093,8.287312,48.7994,1002.038
0.277985573,-5.314583,8.801376,11.51322,-0.06359734,-0.3055603,-0.9454306,15.14093,8.287312,48.7994,1002.038
0.282995701,-6.173845,9.406671,12.18571,-0.06238212,-0.3180796,-0.9521419,15.14093,8.287312,48.7994,1002.038
0.288003445,-5.682838,10.25408,12.85821,-0.05903488,-0.3412104,-0.9630808,15.14093,8.287312,48.7994,1002.038
0.293012142,-4.639449,10.67779,14.01979,-0.04859059,-0.3565682,-0.9678913,15.14093,8.287312,48.7994,1002.038
0.298021317,-4.148442,11.34361,15.0591,-0.03639383,-0.3662857,-0.9623802,15.14093,8.287312,48.7994,1002.038
0.303030014,-4.700825,11.82785,16.52636,-0.02196285,-0.362286,-0.9572874,15.14093,8.287312,48.7994,1002.038
0.308038712,-6.603477,12.06997,17.19885,-0.01593911,-0.3497296,-0.9476235,15.14093,8.287312,48.7994,1002.038
0.313047886,-9.856397,12.61473,17.68794,0.004192677,-0.33885,-0.9407738,15.14093,8.287312,48.7994,1002.038
0.318056583,-13.4162,13.28055,18.05475,0.007969074,-0.3349945,-0.9362671,15.14093,8.287312,48.7994,1002.038
0.323065281,-16.79187,14.06744,17.87134,0.0108696,-0.3324438,-0.9390258,15.14093,8.287312,48.7994,1002.038
0.328074455,-19.61516,14.30956,17.74907,0.01745619,-0.3508427,-0.9415857,15.14093,8.287312,48.7994,1002.04
0.333083153,-20.71992,14.79379,17.87134,0.006136382,-0.3729874,-0.9415736,15.14093,8.287312,48.7994,1002.04
0.338091850,-20.16754,15.15697,17.74907,0.004403864,-0.385142,-0.9449353,15.14093,8.287312,48.7994,1002.04
0.343100071,-18.20351,15.45961,17.44339,0.001340272,-0.40611,-0.9481643,15.14093,8.287312,48.7994,1002.04
0.348109722,-15.87123,14.55167,18.05475,-0.0007038563,-0.3988211,-0.9479063,15.14093,8.287312,48.7994,1002.04
0.353118420,-14.02996,13.09897,18.72725,0.003795627,-0.3814078,-0.938072,13.31102,7.486985,49.15451,1002.04
0.358126640,-13.35482,12.5542,19.3386,-0.000171206,-0.3520461,-0.9225773,13.31102,7.486985,49.15451,1002.04
