Time (s),Power (dBm),Percentage (%)
0.226695537,-41,100
0.626974106,-43,100
1.228565693,-45,100
1.627992630,-51,98
2.232061386,-43,100
2.631556034,-47,100
3.237396717,-45,100
3.637461185,-49,100
4.238634586,-57,86
4.642922878,-59,82
5.251850605,-65,70
5.652037144,-60,80
6.253088951,-61,78
6.657376766,-62,76
7.262181282,-64,72
7.661811352,-60,80
8.267543316,-67,66
8.667633533,-69,62
9.268783569,-65,70
9.668551922,-57,86
10.272672653,-57,86
10.672273636,-60,80
11.273252964,-62,76
11.673090458,-61,78
12.277140140,-49,100
12.677388191,-49,100
13.282716274,-55,90
13.687598228,-51,98
14.287567615,-55,90
14.688242912,-55,90
15.292180061,-60,80
15.697121620,-59,82
16.297454357,-69,62
16.697706222,-63,74
17.301643371,-63,74
17.701689720,-57,86
18.302881241,-60,80
18.702864170,-59,82
19.306684017,-57,86
19.707017422,-59,82
20.312344551,-55,90
20.712088585,-59,82
21.313582420,-47,100
21.717870712,-62,76
22.321807861,-45,100
22.721691132,-57,86
23.123396873,-53,94
23.727334022,-43,100
24.132076263,-45,100
24.733563423,-39,100
25.137851715,-47,100
25.741788864,-39,100
26.141603470,-57,86
26.743026733,-51,98
27.147315025,-59,82
27.746698856,-67,66
28.147556782,-57,86
28.747498989,-60,80
29.151792049,-64,72
29.758718967,-65,70
30.163007736,-59,82
30.762486458,-71,58
31.166242599,-75,50
31.773173332,-71,58
32.177461624,-67,66
32.776843071,-55,90
33.177519321,-55,90
33.777645588,-65,70
34.181933880,-55,90
34.781466961,-57,86
35.183171749,-62,76
35.787108898,-53,94
36.186727524,-59,82
36.788323402,-49,100
37.191638946,-55,90
37.791581154,-65,70
38.192874908,-63,74
38.792799950,-59,82
39.197107315,-53,94
39.796404839,-63,74
40.198209762,-49,100
40.802282333,-53,94
41.201579571,-57,86
41.802521706,-45,100
42.206336975,-53,94
42.806754112,-55,90
43.208048343,-45,100
43.816976547,-43,100
44.217277050,-43,100
44.818214416,-35,100
45.222502708,-37,100
45.627744198,-41,100
46.227066517,-47,100
46.628029346,-43,100
47.236957550,-45,100
47.637252808,-43,100
48.238195419,-45,100
48.642483711,-39,100
49.247418880,-43,100
49.651707649,-42,100
50.252649307,-41,100
50.657904625,-43,100
51.261873245,-45,100
51.661435127,-45,100
52.267104149,-43,100
52.667399406,-41,100
53.268342018,-43,100
53.672630310,-43,100
54.281558990,-43,100
54.681854248,-43,100
55.282796383,-43,100
55.688067913,-41,100
56.292020321,-35,100
56.691698074,-49,100
57.297253132,-43,100
57.697546482,-45,100
58.301483631,-39,100
58.702381611,-35,100
59.302711010,-41,100
59.702608108,-42,100
60.306219101,-37,100
60.707251549,-47,100
61.311224460,-45,100
61.711632252,-43,100
62.312424660,-39,100
62.716732979,-43,100
63.316804409,-45,100
63.717950821,-44,100
64.122239589,-45,100
64.727174759,-45,100
65.126796722,-44,100
65.732405186,-43,100
66.137686729,-45,100
66.741630554,-37,100
67.141190052,-45,100
67.741878509,-45,100
68.147155762,-45,100
68.746101379,-37,100
69.147394657,-43,100
69.752332687,-45,100
70.151762962,-43,100
70.757560730,-41,100
71.161849499,-35,100
71.761794090,-45,100
72.163087368,-45,100
72.772015572,-45,100
73.177302360,-39,100
73.779004097,-43,100
74.182535171,-43,100
74.786470413,-43,100
75.186765671,-37,100
75.787708759,-43,100
76.191998482,-41,100
76.791940689,-39,100
77.196228981,-41,100
77.797176361,-43,100
78.197466850,-44,100
78.801403999,-44,100
79.200990677,-43,100
79.801657677,-43,100
80.206930160,-43,100
80.806151390,-43,100
81.207170009,-45,100
81.812105179,-43,100
82.211688518,-43,100
82.817336082,-39,100
83.221623897,-43,100
83.821568489,-47,100
84.221993923,-47,100
84.822669029,-41,100
85.227094650,-39,100
85.626391888,-43,100
86.227334499,-41,100
86.627471924,-37,100
87.231566906,-47,100
87.631034374,-43,100
88.236797333,-37,100
88.637022495,-39,100
89.238035679,-41,100
89.641437530,-41,100
90.242136001,-37,100
90.641698837,-43,100
91.242507934,-45,100
91.642503261,-44,100
92.246632099,-37,100
92.646116733,-41,100
93.251970768,-39,100
93.652055263,-39,100
94.256185055,-43,100
94.657496929,-41,100
95.266425609,-41,100
95.666664123,-47,100
96.267663002,-43,100
96.671951771,-43,100
97.276224613,-43,100
97.676264286,-39,100
98.282117843,-47,100
98.686421871,-49,100
99.286634445,-47,100
99.687644005,-37,100
100.296572685,-39,100
100.696870327,-39,100
101.296896458,-39,100
101.697107792,-39,100
102.301049232,-41,100
102.701340198,-41,100
103.302282333,-39,100
103.702354908,-39,100
104.306486130,-41,100
104.705921650,-39,100
105.311746120,-39,100
105.711911678,-39,100
106.312983513,-39,100
106.717272282,-39,100
107.122393608,-41,100
107.726495743,-39,100
108.125947952,-45,100
108.731727123,-41,100
109.137008190,-47,100
109.742133141,-49,100
110.147234916,-51,98
110.747182846,-49,100
111.151468277,-47,100
111.750724792,-43,100
112.151707172,-39,100
112.756643295,-37,100
113.155940532,-41,100
113.757728100,-41,100
114.161170482,-41,100
114.761115074,-39,100
115.162408352,-39,100
115.772340298,-39,100
116.171637535,-49,100
116.772574425,-49,100
117.176866054,-45,100
117.776806831,-49,100
118.181095600,-49,100
118.787031174,-45,100
119.191318035,-44,100
119.791467190,-39,100
120.192555427,-41,100
120.802482128,-39,100
121.201779365,-39,100
121.802721977,-39,100
122.207012176,-39,100
122.806954384,-39,100
123.211242676,-43,100
123.812187195,-45,100
124.212480545,-49,100
124.816417694,-49,100
125.215749740,-49,100
125.817630291,-43,100
126.221943855,-43,100
126.820889950,-39,100
127.222185612,-43,100
127.822130680,-41,100
128.226416111,-41,100
128.625713348,-39,100
129.226655960,-39,100
129.626956940,-41,100
130.230811596,-39,100
130.632182121,-45,100
131.237122059,-47,100
131.636414528,-49,100
132.237357139,-49,100
132.641647339,-47,100
133.241589546,-45,100
133.641479492,-39,100
134.242640018,-41,100
134.642182350,-41,100
135.246061325,-39,100
135.645672321,-39,100
136.251292705,-41,100
136.651592255,-41,100
137.251625061,-39,100
137.652585983,-47,100
138.256720543,-45,100
138.656059742,-49,100
139.257002353,-49,100
139.657100201,-53,94
140.260624885,-45,100
140.660722732,-39,100
141.266465664,-43,100
141.666669846,-39,100
142.270698070,-39,100
142.671992302,-39,100
143.280940533,-39,100
143.681215763,-39,100
144.282157898,-39,100
144.686449051,-39,100
145.286390781,-39,100
145.686339378,-39,100
146.287444591,-37,100
146.687110424,-37,100
147.290863037,-37,100
