Time (s),W,X,Y,Z
0.447497368,-0.3831496,-0.6268809,0.3923315,0.550382
0.452553749,-0.3831213,-0.6268802,0.3923022,0.5504234
0.457607746,-0.3831059,-0.6268797,0.3922745,0.5504547
0.462663174,-0.3830879,-0.6268915,0.3922518,0.5504697
0.467719078,-0.3830604,-0.6269165,0.3922398,0.550469
0.472774505,-0.3830437,-0.6269411,0.3922239,0.5504638
0.477829933,-0.3830151,-0.6269859,0.3921807,0.5504636
0.482884884,-0.3829816,-0.6270348,0.3921302,0.5504671
0.487940311,-0.3829552,-0.6270815,0.3920798,0.5504681
0.492995739,-0.3829147,-0.627142,0.3920217,0.550469
0.498050690,-0.3828741,-0.6271989,0.3919785,0.5504632
0.503107071,-0.3828703,-0.6272371,0.3919336,0.5504543
0.508162022,-0.382865,-0.6272762,0.3918957,0.5504401
0.513217449,-0.3828699,-0.6273078,0.3918566,0.5504285
0.518272877,-0.3828636,-0.6273482,0.3918244,0.55041
0.523327827,-0.3828796,-0.6273815,0.3917924,0.5503837
0.528383255,-0.3828882,-0.6274243,0.3917672,0.5503469
0.533438682,-0.3829017,-0.6274571,0.3917488,0.5503132
0.538494587,-0.3829225,-0.6274799,0.3917339,0.5502834
0.543550014,-0.3829453,-0.6275078,0.3917135,0.55025
0.548605442,-0.3829738,-0.6275244,0.391695,0.5502244
0.553660393,-0.3829978,-0.6275416,0.3916769,0.5502011
0.558715820,-0.3830077,-0.6275634,0.3916583,0.5501825
0.563771248,-0.3829948,-0.6276035,0.3916422,0.5501571
0.568826198,-0.382983,-0.6276366,0.3916247,0.5501401
0.573881626,-0.3829732,-0.6276702,0.3916127,0.5501171
0.578937530,-0.3829719,-0.6276953,0.3915989,0.5500992
0.583992958,-0.3829489,-0.6277332,0.3915766,0.550088
0.589048386,-0.3828882,-0.6278123,0.3915435,0.5500636
0.594103336,-0.382782,-0.6279319,0.3915104,0.5500243
0.599158764,-0.3826714,-0.6280625,0.3914765,0.5499761
0.604214191,-0.3825741,-0.6281873,0.3914494,0.5499208
0.609269619,-0.3824859,-0.6283059,0.3914241,0.5498648
0.614325523,-0.3824143,-0.6284015,0.3914018,0.549821
0.616852760,-0.3823793,-0.6284497,0.3913892,0.5497993
0.621908188,-0.3823021,-0.628545,0.3913671,0.5497598
0.626963138,-0.3822211,-0.628646,0.3913106,0.5497408
0.632019520,-0.3821496,-0.6287435,0.3912567,0.5497174
0.637074470,-0.3820936,-0.6288249,0.3912088,0.5496973
0.642129898,-0.3820894,-0.6288739,0.3911568,0.5496811
0.647185326,-0.3821192,-0.6289019,0.3910979,0.5496704
0.652240276,-0.3821743,-0.6289146,0.3910407,0.5496582
0.657295704,-0.3822383,-0.6289173,0.3909881,0.5496479
0.662351131,-0.3823163,-0.628908,0.3909509,0.5496309
0.667407036,-0.3824146,-0.6288825,0.3909156,0.5496167
0.672462463,-0.382499,-0.6288635,0.3908872,0.5496
0.677517414,-0.3826003,-0.6288169,0.3908638,0.5495995
0.682572842,-0.3826848,-0.6287775,0.3908559,0.5495912
0.687628269,-0.3827553,-0.6287516,0.3908528,0.5495738
0.692683697,-0.3828243,-0.6287246,0.3908559,0.5495545
0.697738647,-0.3828918,-0.6286849,0.3908548,0.5495538
0.702795029,-0.3829406,-0.6286566,0.3908536,0.549553
0.707853317,-0.3829744,-0.6286257,0.3908475,0.5495691
0.712905407,-0.3830037,-0.6285951,0.3908356,0.5495923
0.717960834,-0.3830083,-0.6285687,0.3908241,0.5496273
0.723015785,-0.3830108,-0.6285434,0.3908169,0.5496596
0.728071213,-0.38301,-0.6285088,0.3908238,0.5496949
0.733126640,-0.3830213,-0.6284636,0.3908354,0.5497302
0.738182545,-0.3830142,-0.6284295,0.3908525,0.5497623
0.743237972,-0.3830172,-0.6283907,0.3908612,0.5497982
0.748292923,-0.3830369,-0.6283475,0.3908682,0.5498289
0.753348350,-0.3830499,-0.628306,0.3908703,0.5498657
