Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.007682323,0.9025589,-0.1902425,-0.02716104,-1.041575,-0.04258645,-0.09697684,48.12743,-18.46167,-4.613712,1002.192
0.012733459,0.4119002,-0.2506437,0.09526838,-1.038644,-0.04015676,-0.09311277,48.12743,-18.46167,-4.613712,1002.192
0.017788887,-0.2010839,-0.3715848,0.2176209,-1.04781,-0.04909755,-0.09229584,48.12743,-18.46167,-4.613712,1002.192
0.022844314,-0.5072914,-0.3712943,0.2174842,-1.037155,-0.03969967,-0.08928519,48.12743,-18.46167,-4.613712,1002.192
0.027899265,-0.752086,-0.5527375,0.1561126,-1.044559,-0.03872913,-0.09828685,48.12743,-18.46167,-4.613712,1002.192
0.032954693,-0.7516327,-0.1889993,0.2172687,-1.038524,-0.0503768,-0.09289488,48.12743,-18.46167,-4.613712,1002.192
0.038013458,-1.118753,-0.06776299,0.2782712,-1.042573,-0.03780488,-0.09253711,47.38139,-18.48185,-5.056914,1002.19
0.043066025,-1.179387,-0.1282792,0.2780772,-1.039026,-0.04560027,-0.08750246,47.38139,-18.48185,-5.056914,1002.19
0.048121452,-1.239866,-0.0676779,0.2779025,-1.037711,-0.0367272,-0.09351318,47.38139,-18.48185,-5.056914,1002.19
0.053176403,-1.484181,0.1746569,0.2165313,-1.040035,-0.04698562,-0.09375192,47.38139,-18.48185,-5.056914,1002.19
0.058231830,-1.36075,0.235087,0.1551603,-1.042027,-0.04313838,-0.09315656,47.38139,-18.48185,-5.056914,1002.19
0.063287258,-1.421135,0.1743805,-0.08976188,-1.038137,-0.04446815,-0.09705716,47.38139,-18.48185,-5.056914,1002.19
0.068342685,-1.358983,0.2953885,-0.1509406,-1.036649,-0.04591401,-0.09615047,47.38139,-18.48185,-5.056914,1002.19
0.073398590,-1.174333,0.3557618,-0.08961075,-1.038255,-0.03472738,-0.097766,47.38139,-18.48185,-5.056914,1002.19
0.078454017,-1.418709,0.4767131,-0.2119284,-1.042063,-0.0468807,-0.1033052,47.38139,-18.48185,-5.056914,1002.188
0.083508968,-1.417817,0.7792647,-0.5178549,-1.038024,-0.05800775,-0.1026686,47.37751,-18.11103,-4.60847,1002.188
0.088564396,-1.72328,1.081664,-0.5787647,-1.039955,-0.05665575,-0.09782846,47.37751,-18.11103,-4.60847,1002.188
0.093619823,-1.59966,1.081004,-0.3947922,-1.035637,-0.05357826,-0.1030574,47.37751,-18.11103,-4.60847,1002.188
0.098674774,-1.905008,1.56489,-0.6393496,-1.029739,-0.05688059,-0.1027183,47.37751,-18.11103,-4.60847,1002.188
0.103730202,-1.965089,1.624466,-0.8225377,-1.034592,-0.06225755,-0.1071178,47.37751,-18.11103,-4.60847,1002.188
0.108785629,-2.392707,1.926335,-0.8832559,-1.03361,-0.06177424,-0.1056786,47.37751,-18.11103,-4.60847,1002.188
0.113841533,-2.575,2.106801,-0.8827203,-1.036629,-0.05785335,-0.1112954,47.37751,-18.11103,-4.60847,1002.188
0.118896961,-2.757198,2.408329,-1.00452,-1.036551,-0.05942536,-0.1036761,47.37751,-18.11103,-4.60847,1002.187
0.123951912,-2.877984,2.52799,-1.003928,-1.034654,-0.05881085,-0.1099022,47.37751,-18.11103,-4.60847,1002.187
0.129007339,-2.876176,2.708117,-1.125709,-1.037123,-0.05499389,-0.1078668,47.37751,-18.11103,-4.60847,1002.187
0.134062767,-3.242001,2.706453,-1.431062,-1.034767,-0.0495564,-0.1106234,47.75202,-18.47215,-5.059847,1002.187
0.139118194,-3.178724,3.068125,-1.675026,-1.035655,-0.05497369,-0.1074014,47.75202,-18.47215,-5.059847,1002.187
0.144173145,-3.299226,3.369049,-1.796444,-1.031745,-0.06062394,-0.115242,47.75202,-18.47215,-5.059847,1002.187
0.149229526,-3.113338,3.306335,-2.162533,-1.03662,-0.06548633,-0.1215433,47.75202,-18.47215,-5.059847,1002.187
0.154284477,-2.743751,3.485992,-2.22241,-1.034644,-0.0635894,-0.1157688,47.75202,-18.47215,-5.059847,1002.187
0.156811714,-2.497775,3.182008,-2.344143,-1.033162,-0.0655004,-0.1163101,47.75202,-18.47215,-5.059847,1002.187
0.161867142,-2.312429,3.119469,-2.342632,-1.035681,-0.06254309,-0.1219562,47.75202,-18.47215,-5.059847,1002.187
0.166923046,-1.698289,2.693502,-2.586004,-1.034027,-0.07857892,-0.1214218,47.75202,-18.47215,-5.059847,1002.187
0.171978473,-1.207073,2.449499,-2.461987,-1.035608,-0.06696247,-0.1191967,47.75202,-18.47215,-5.059847,1002.187
0.177033901,-0.8387219,2.023953,-2.827677,-1.038005,-0.06851634,-0.1158622,47.75202,-18.47215,-5.059847,1002.187
0.182088852,-0.7156768,1.840929,-2.764685,-1.039586,-0.05928211,-0.1170488,47.38229,-18.11026,-4.159401,1002.187
0.187144279,-0.4088934,1.839772,-2.824067,-1.040054,-0.05837505,-0.1131913,47.38229,-18.11026,-4.159401,1002.187
0.192199707,0.3265684,1.778077,-2.822255,-1.040059,-0.06027094,-0.1165908,47.38229,-18.11026,-4.159401,1002.187
0.197255611,0.7552151,1.776922,-3.004129,-1.033743,-0.05867258,-0.1180461,47.38229,-18.11026,-4.159401,1002.187
0.202311039,1.061132,1.412396,-2.818672,-1.03329,-0.05716918,-0.1204059,47.38229,-18.11026,-4.159401,1002.185
0.207366466,1.244281,1.290372,-2.816843,-1.036171,-0.05255111,-0.107335,47.38229,-18.11026,-4.159401,1002.185
0.212421417,1.2435,1.350101,-2.937524,-1.034744,-0.05483543,-0.1155453,47.38229,-18.11026,-4.159401,1002.185
0.217476845,1.242776,1.409869,-2.690835,-1.034236,-0.0529587,-0.1102362,47.38229,-18.11026,-4.159401,1002.185
0.222532272,1.303235,1.045535,-2.811518,-1.033279,-0.05195374,-0.1111772,47.38229,-18.11026,-4.159401,1002.185
0.227587223,1.54753,1.347691,-2.748575,-1.039071,-0.04980066,-0.09957761,47.38229,-18.11026,-4.159401,1002.185
0.232642650,1.485299,1.04405,-2.685632,-1.035669,-0.05113953,-0.1034738,48.14808,-19.13932,-4.163497,1002.185
0.237698555,1.177974,0.9829119,-2.745161,-1.042971,-0.04892897,-0.09760357,48.14808,-19.13932,-4.163497,1002.185
0.242753982,1.115956,1.042872,-2.804672,-1.039049,-0.051746,-0.09962726,48.14808,-19.13932,-4.163497,1002.183
0.247813225,0.9314388,0.9816011,-2.802852,-1.036671,-0.04825385,-0.1024335,48.14808,-19.13932,-4.163497,1002.183
0.252864361,1.114631,1.223296,-2.556266,-1.032758,-0.04724379,-0.1000511,48.14808,-19.13932,-4.163497,1002.183
0.257919788,0.9301534,0.9196572,-2.493483,-1.0387,-0.04148155,-0.1022422,48.14808,-19.13932,-4.163497,1002.183
0.262975216,0.807051,0.7979618,-2.369504,-1.030936,-0.04173063,-0.1085457,48.14808,-19.13932,-4.163497,1002.183
0.268030643,0.6840066,0.6157651,-2.184368,-1.033876,-0.03938176,-0.1065432,48.14808,-19.13932,-4.163497,1002.183
0.273086548,0.3158685,0.6154163,-2.183034,-1.035816,-0.04277299,-0.1099624,48.14808,-19.13932,-4.163497,1002.183
0.278141975,0.1318929,0.4939121,-1.936896,-1.034856,-0.03939288,-0.107013,48.14808,-19.13932,-4.163497,1002.183
0.283196926,-0.1745622,0.2513285,-1.629658,-1.037458,-0.0281891,-0.1110125,48.12355,-18.09085,-4.165268,1002.183
0.288252354,-0.1132128,0.2512087,-1.567418,-1.031537,-0.03438823,-0.1121835,48.12355,-18.09085,-4.165268,1002.181
0.293307781,-0.1131609,-0.05185734,-1.566414,-1.038849,-0.03787239,-0.1160329,48.12355,-18.09085,-4.165268,1002.181
0.298362732,-0.1130513,-0.05182476,-1.198193,-1.038854,-0.03453163,-0.1116392,48.12355,-18.09085,-4.165268,1002.181
0.303418159,-0.6644273,-0.1122939,-1.136244,-1.043175,-0.03760206,-0.1068889,48.12355,-18.09085,-4.165268,1002.181
0.308474064,-0.9703051,-0.23336,-1.074295,-1.041209,-0.04139985,-0.110834,48.12355,-18.09085,-4.165268,1002.181
0.313529491,-1.030974,-0.2332515,-1.073659,-1.042649,-0.04290024,-0.109901,48.12355,-18.09085,-4.165268,1002.181
0.318584919,-1.091624,-0.3542606,-0.8281404,-1.048989,-0.04112251,-0.1064446,48.12355,-18.09085,-4.165268,1002.181
0.323639870,-1.152158,-0.4145588,-0.8276201,-1.044084,-0.03726811,-0.09777547,48.12355,-18.09085,-4.165268,1002.181
0.328695297,-1.519047,-0.4748762,-0.7659229,-1.043005,-0.04696245,-0.09898955,48.11489,-17.7208,-4.165894,1002.18
0.333750725,-1.640591,-0.7168893,-0.5818136,-1.044491,-0.03885628,-0.08967317,48.11489,-17.7208,-4.165894,1002.18
0.338806152,-1.823338,-0.655861,-0.3977815,-1.042917,-0.0504586,-0.09285544,48.11489,-17.7208,-4.165894,1002.18
0.343862057,-1.822154,-1.018821,-0.2751384,-1.044992,-0.03931638,-0.09207389,48.11489,-17.7208,-4.165894,1002.18
0.348917484,-1.821009,-1.260416,-0.03014093,-1.044021,-0.04547925,-0.1018148,48.11489,-17.7208,-4.165894,1002.18
0.353972435,-2.064959,-1.380799,-0.09128013,-1.039974,-0.05328674,-0.09534889,48.11489,-17.7208,-4.165894,1002.18
0.359027862,-2.247478,-1.561646,0.2148177,-1.043428,-0.04614015,-0.08938958,48.11489,-17.7208,-4.165894,1002.18
0.364083290,-2.368603,-1.318373,0.3370759,-1.041607,-0.04443289,-0.103726,48.11489,-17.7208,-4.165894,1002.18
0.369138241,-2.612228,-1.135849,0.2756484,-1.039111,-0.05020224,-0.1053325,48.11489,-17.7208,-4.165894,1002.18
0.374193668,-2.671865,-1.195637,0.5203192,-1.036144,-0.05164909,-0.1025248,48.11489,-17.7208,-4.165894,1002.18
0.379253864,-2.302556,-0.8315331,0.3363641,-1.037263,-0.04759295,-0.1148587,48.11489,-17.7208,-4.165894,1002.18
0.381776810,-1.934162,-1.013005,0.5199058,-1.03469,-0.05398284,-0.1073854,48.11489,-17.7208,-4.165894,1002.18
0.386832237,-1.687873,-0.5884193,0.6419339,-1.036174,-0.05159258,-0.1063531,48.11489,-17.7208,-4.165894,1002.18
0.391887665,-1.441718,-0.9515167,0.7027464,-1.038583,-0.05407674,-0.1059147,48.11489,-17.7208,-4.165894,1002.18
0.396943569,-1.685887,-0.8903221,0.7635399,-1.041939,-0.0604415,-0.107481,48.11489,-17.7208,-4.165894,1002.18
0.401998997,-1.684828,-1.192633,0.7630795,-1.037707,-0.05054123,-0.1134932,48.11489,-17.7208,-4.165894,1002.18
0.407057285,-1.683751,-1.31302,0.9462667,-1.034769,-0.05002861,-0.1115929,48.11489,-17.7208,-4.165894,1002.18
0.412109375,-1.682712,-1.191021,0.7008476,-1.039167,-0.05152703,-0.114462,48.11489,-17.7208,-4.165894,1002.18
0.417164802,-1.681655,-1.069098,0.8227619,-1.031691,-0.05691694,-0.1027008,48.11489,-17.7208,-4.165894,1002.18
0.422220230,-1.558023,-0.8867117,0.8834993,-1.037,-0.0618873,-0.1022981,48.11489,-17.7208,-4.165894,1002.18
0.427275181,-1.679581,-0.7045163,0.6993354,-1.032112,-0.06276201,-0.1028453,48.13942,-18.76927,-4.164123,1002.18
0.432331562,-1.739766,-0.6434578,0.8212892,-1.040009,-0.05941128,-0.1089093,48.13942,-18.76927,-4.164123,1002.18
0.437386513,-1.738711,-0.7036314,0.6371835,-1.03564,-0.06119005,-0.1147409,48.13942,-18.76927,-4.164123,1002.18
0.442441940,-1.676379,-0.8849038,0.5755482,-1.034614,-0.06031223,-0.1070682,48.13942,-18.76927,-4.164123,1002.18
0.447497368,-1.49153,-0.8238272,0.6364024,-1.034121,-0.06174094,-0.1085454,48.13942,-18.76927,-4.164123,1002.18
0.452553749,-1.613092,-0.3992838,0.5747868,-1.031135,-0.06512605,-0.1062659,48.13942,-18.76927,-4.164123,1002.178
0.457607746,-1.85723,-0.1567026,0.5132291,-1.032546,-0.06620368,-0.1010137,48.13942,-18.76927,-4.164123,1002.178
0.462663174,-1.611027,0.1461899,0.3905328,-1.033565,-0.06376195,-0.102857,48.13942,-18.76927,-4.164123,1002.178
0.467719078,-1.36494,0.872994,0.3290716,-1.035503,-0.06477803,-0.1023858,48.13942,-18.76927,-4.164123,1002.178
0.472774505,-1.486639,0.5090357,0.2064718,-1.030614,-0.06708349,-0.1048843,48.13942,-18.76927,-4.164123,1002.178
0.477829933,-1.66954,0.5692366,-0.3445423,-1.033989,-0.07007923,-0.1039711,48.11011,-17.72158,-4.614963,1002.178
0.482884884,-1.362158,0.6899776,-0.09953957,-1.029088,-0.06955145,-0.1006527,48.11011,-17.72158,-4.614963,1002.178
0.487940311,-0.9937091,0.4472709,-0.2218317,-1.034094,-0.06179039,-0.1051957,48.11011,-17.72158,-4.614963,1002.178
0.492995739,-1.054305,0.5075868,-0.4665171,-1.034579,-0.06704318,-0.1125059,48.11011,-17.72158,-4.614963,1002.176
0.498050690,-0.6860887,0.5678267,-0.4050466,-1.036622,-0.05977042,-0.1132592,48.11011,-17.72158,-4.614963,1002.176
0.503107071,-0.3180842,0.2646379,-0.7720484,-1.033581,-0.0604,-0.09989888,48.11011,-17.72158,-4.614963,1002.176
0.508162022,-0.1341072,0.3249733,-0.5879353,-1.035597,-0.05841333,-0.1050956,48.11011,-17.72158,-4.614963,1002.176
0.513217449,-0.01142779,0.4459819,-0.7712517,-1.033648,-0.05980065,-0.1075431,48.11011,-17.72158,-4.614963,1002.176
0.518272877,0.04979995,0.5668765,-0.8320215,-1.039044,-0.05746897,-0.1074328,48.11011,-17.72158,-4.614963,1002.176
0.523327827,0.2948241,0.6271172,-0.9538535,-1.039536,-0.0541373,-0.1030347,48.11011,-17.72158,-4.614963,1002.176
0.528383255,0.417157,0.8083807,-1.014431,-1.039576,-0.0535874,-0.1073291,48.11011,-17.72158,-4.614963,1002.176
0.533438682,0.5394515,0.8684506,-0.7689118,-1.039049,-0.051746,-0.09962726,48.11011,-17.72158,-4.614963,1002.18
0.538494587,0.6616885,0.8074034,-0.8296254,-1.038079,-0.05219296,-0.1010841,48.11011,-17.72158,-4.614963,1002.18
0.543550014,0.3549198,0.6857405,-0.951555,-1.038959,-0.05905511,-0.09885637,48.11011,-17.72158,-4.614963,1002.18
0.548605442,0.4772727,0.6247318,-0.7061325,-1.034111,-0.05414328,-0.09590484,48.11011,-17.72158,-4.614963,1002.18
0.553660393,0.1706199,0.7454761,-0.5832188,-1.038432,-0.05816518,-0.09261493,48.11011,-17.72158,-4.614963,1002.18
0.558715820,-0.07456202,0.8661253,-0.644049,-1.03612,-0.04883704,-0.09527224,48.11011,-17.72158,-4.614963,1002.18
0.563771248,-0.07451519,1.107816,-0.5824863,-1.038498,-0.05471141,-0.09587781,48.11011,-17.72158,-4.614963,1002.18
0.568826198,-0.1969865,0.9859648,-0.6433746,-1.040541,-0.04505644,-0.09321935,48.11011,-17.72158,-4.614963,1002.18
0.573881626,-0.503235,1.10652,-0.5817931,-1.036108,-0.05124045,-0.09724846,48.13221,-18.4609,-4.164643,1002.18
0.578937530,-1.176884,1.105901,-0.5814084,-1.031675,-0.04980561,-0.09007259,48.13221,-18.4609,-4.164643,1002.18
0.583992958,-1.727553,1.286921,-0.6422782,-1.032712,-0.04447413,-0.08992729,48.13221,-18.4609,-4.164643,1002.18
0.589048386,-2.032763,2.013008,-0.7643063,-1.026952,-0.04799437,-0.1077851,48.13221,-18.4609,-4.164643,1002.18
0.594103336,-2.153985,2.314557,-0.8250227,-1.028036,-0.04305033,-0.1143517,48.13221,-18.4609,-4.164643,1002.18
