Time (s),Power (dBm),Percentage (%)
145.353448868,-51,98
145.757737160,-45,100
146.357553005,-47,100
146.758975029,-51,98
147.367903709,-47,100
147.767890930,-47,100
148.369141102,-49,100
148.773430347,-49,100
149.372845650,-39,100
149.773692131,-39,100
150.373613358,-45,100
150.777902126,-51,98
151.177212238,-45,100
151.778141499,-43,100
152.178359032,-45,100
152.782373905,-53,94
153.182276726,-49,100
153.787605286,-49,100
154.187715054,-45,100
154.788842678,-43,100
155.193131447,-43,100
155.797728062,-39,100
156.197976589,-47,100
156.803299427,-45,100
157.202594757,-53,94
157.803539276,-43,100
158.203832626,-39,100
158.807769775,-43,100
159.207318783,-51,98
159.808870792,-45,100
160.208208084,-47,100
160.812242031,-47,100
161.211751938,-45,100
161.817471981,-47,100
162.217621326,-41,100
162.818709850,-41,100
163.222998619,-47,100
163.822655678,-51,98
164.224236012,-47,100
164.833164692,-45,100
165.237452984,-45,100
165.837991238,-35,100
166.238690853,-45,100
166.842628002,-53,94
167.242319584,-53,94
167.847613811,-47,100
168.248154163,-41,100
168.852091789,-41,100
169.253385544,-37,100
169.862313271,-35,100
170.262613297,-37,100
170.863551617,-37,100
171.262848854,-39,100
171.867578030,-37,100
