Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
-0.001448631,0.5394562,0.6477599,0.2030114,0.9566109,0.02477693,0.01702475,-49.1813,-17.27703,-26.37003,1002.229
0.003606319,0.7233489,0.7689536,0.08054138,0.9609772,0.02681112,0.01655642,-49.1813,-17.27703,-26.37003,1002.227
0.008660793,0.845944,0.6477599,0.01930635,0.9643824,0.02784741,0.01655057,-49.1813,-17.27703,-26.37003,1002.227
0.013716221,0.9072416,0.2235818,0.2030114,0.9697368,0.0265449,0.01263682,-49.1813,-17.27703,-26.37003,1002.227
0.018770695,1.091134,0.4053724,0.2030114,0.9657776,0.03228698,0.01425644,-49.1813,-17.27703,-26.37003,1002.227
0.023825169,1.152432,0.3447755,0.1417764,0.966661,0.03914207,0.01250729,-49.1813,-17.27703,-26.37003,1002.227
0.028880119,1.091134,0.7083567,0.08054138,0.9612105,0.04395486,0.009329852,-49.1813,-17.27703,-26.37003,1002.227
0.033935070,1.029837,0.6477599,0.08054138,0.9581907,0.05359165,0.01199708,-49.1813,-17.27703,-26.37003,1002.227
0.038990021,1.029837,0.7689536,0.01930635,0.9533112,0.05540371,0.01496178,-49.1813,-17.27703,-26.37003,1002.227
0.044044495,0.6007537,0.7689536,0.08054138,0.9469194,0.06108622,0.01756039,-49.1813,-17.27703,-26.37003,1002.225
0.049098969,0.4168611,0.7083567,-0.1643987,0.9533432,0.0591531,0.02463184,-50.29318,-17.30614,-26.36123,1002.225
0.054154396,0.2942659,0.7083567,-0.04192868,0.9572833,0.05344633,0.02061953,-50.29318,-17.30614,-26.36123,1002.225
0.059213161,0.3555635,0.9507443,-0.1643987,0.9666414,0.05298435,0.03057315,-50.29318,-17.30614,-26.36123,1002.225
0.064263821,0.2329683,0.8295505,0.01930635,0.962276,0.04856794,0.02762965,-50.29318,-17.30614,-26.36123,1002.225
0.069318771,0.1103732,0.9507443,-0.1031637,0.9661647,0.04771743,0.02422,-50.29318,-17.30614,-26.36123,1002.225
0.074377537,0.2329683,0.8295505,0.01930635,0.965234,0.04666302,0.02851078,-50.29318,-17.30614,-26.36123,1002.225
0.079428196,-0.01222191,0.7083567,0.08054138,0.9593724,0.04275512,0.02224309,-50.29318,-17.30614,-26.36123,1002.225
0.084482670,-0.07351948,0.9507443,0.3254815,0.952497,0.04508779,0.02045235,-50.29318,-17.30614,-26.36123,1002.227
0.089538097,-0.5639,0.7689536,0.3254815,0.9564667,0.04170673,0.02368017,-50.29318,-17.30614,-26.36123,1002.227
0.094593048,-0.8090903,0.8901474,0.2030114,0.9613117,0.04424341,0.02274133,-50.29318,-17.30614,-26.36123,1002.227
0.099647522,-0.992983,0.6477599,0.1417764,0.9599451,0.03498996,0.02156157,-49.54327,-17.65678,-26.36647,1002.227
0.104702950,-1.115578,0.7689536,0.1417764,0.9683189,0.03262098,0.027646,-49.54327,-17.65678,-26.36647,1002.227
0.109757423,-0.992983,0.7689536,0.1417764,0.9683286,0.03307906,0.02957257,-49.54327,-17.65678,-26.36647,1002.227
0.114811897,-0.992983,0.7689536,0.2642465,0.9669299,0.02436139,0.02505545,-49.54327,-17.65678,-26.36647,1002.227
0.119866848,-0.8090903,0.8901474,0.4479516,0.9684898,0.02087837,0.03213349,-49.54327,-17.65678,-26.36647,1002.227
0.124921799,-0.6864951,1.193132,0.3867165,0.96844,0.02525536,0.0322452,-49.54327,-17.65678,-26.36647,1002.225
0.129976749,-0.4413049,1.374923,0.5704216,0.9660732,0.0226935,0.03794751,-49.54327,-17.65678,-26.36647,1002.225
0.135031223,-0.3187097,1.61731,0.6928917,0.9679302,0.02814308,0.03375967,-49.54327,-17.65678,-26.36647,1002.225
0.140085697,-0.01222191,1.61731,0.5091866,0.9668677,0.03637842,0.03493652,-49.54327,-17.65678,-26.36647,1002.225
0.145141125,-0.01222191,1.738504,0.7541267,0.9678686,0.03158978,0.03097533,-49.53051,-18.02616,-25.98093,1002.225
0.150195599,-0.3800073,1.677907,0.5704216,0.9648751,0.04022566,0.03553188,-49.53051,-18.02616,-25.98093,1002.225
0.155250549,-0.5026025,2.041488,0.6928917,0.9623401,0.04654491,0.03284392,-49.53051,-18.02616,-25.98093,1002.225
0.160305023,-1.422066,1.859697,0.7541267,0.9587921,0.05577105,0.02976066,-49.53051,-18.02616,-25.98093,1002.225
0.165360451,-2.218934,1.677907,0.6316566,0.9533483,0.05771529,0.02315899,-49.53051,-18.02616,-25.98093,1002.227
0.170414925,-2.893208,1.556713,0.4479516,0.953738,0.06504762,0.02142663,-49.53051,-18.02616,-25.98093,1002.227
0.175469399,-3.812671,1.374923,0.3867165,0.9537149,0.06937517,0.02488811,-49.53051,-18.02616,-25.98093,1002.227
0.180524826,-4.119159,1.374923,0.3867165,0.9518032,0.06545521,0.0243278,-49.53051,-18.02616,-25.98093,1002.227
0.185579300,-4.793432,1.61731,0.3867165,0.9523033,0.06734606,0.02867991,-49.53051,-18.02616,-25.98093,1002.227
0.190634251,-5.34511,1.799101,0.3867165,0.961063,0.06707984,0.02476031,-49.53051,-18.02616,-25.98093,1002.227
0.195688725,-5.712895,1.920294,0.5704216,0.9592881,0.05671748,0.03217379,-49.53939,-18.0276,-26.81491,1002.227
0.200744152,-6.019383,1.859697,0.6928917,0.9631846,0.05680433,0.03118166,-49.53939,-18.0276,-26.81491,1002.227
0.205798626,-6.571062,2.162682,0.9378318,0.9559054,0.05468735,0.03359044,-49.53939,-18.0276,-26.81491,1002.233
0.208325863,-6.632359,2.102085,1.060302,0.9594008,0.04746304,0.03289504,-49.53939,-18.0276,-26.81491,1002.233
0.213380814,-7.184037,2.223279,1.121537,0.9536175,0.04388608,0.03716759,-49.53939,-18.0276,-26.81491,1002.233
0.218435764,-7.245335,2.708054,1.305242,0.9575505,0.03914491,0.03365864,-49.53939,-18.0276,-26.81491,1002.233
0.223490715,-7.429227,2.223279,1.366477,0.9561894,0.02940513,0.03246647,-49.53939,-18.0276,-26.81491,1002.233
0.228545189,-7.61312,2.283876,1.488947,0.9592259,0.02354598,0.03755515,-49.53939,-18.0276,-26.81491,1002.233
0.233599663,-7.000144,2.344472,1.550182,0.9670829,0.02074515,0.03932471,-49.53939,-18.0276,-26.81491,1002.233
0.238655090,-6.325871,2.344472,1.427712,0.9672711,0.004209857,0.0389027,-49.53939,-18.0276,-26.81491,1002.233
0.243709564,-5.467705,2.708054,1.550182,0.9687393,0.005181535,0.04082853,-49.94077,-16.92793,-27.26292,1002.233
0.248764515,-4.732134,3.011038,1.611417,0.9713314,-0.006480315,0.04290141,-49.94077,-16.92793,-27.26292,1002.233
0.253819943,-4.057861,3.253426,1.550182,0.9810728,-0.006263218,0.04042108,-49.94077,-16.92793,-27.26292,1002.233
