Time (s),W,X,Y,Z
-0.001448631,-0.6950029,0.192699,-0.6684447,0.1721842
0.003606319,-0.6950073,0.192726,-0.6684166,0.1722452
0.008660793,-0.6950014,0.1927611,-0.6683925,0.1723236
0.013716221,-0.6949854,0.1928016,-0.6683828,0.1723805
0.018770695,-0.6949686,0.1928461,-0.6683726,0.1724375
0.023825169,-0.6949548,0.1928939,-0.6683603,0.1724876
0.028880119,-0.69495,0.192946,-0.668345,0.1725082
0.033935070,-0.6949518,0.1929995,-0.6683275,0.1725087
0.038990021,-0.6949576,0.1930525,-0.6683065,0.1725072
0.044044495,-0.6949665,0.193097,-0.6682934,0.1724728
0.049098969,-0.6949872,0.1931391,-0.6682687,0.1724374
0.054154396,-0.6950031,0.1931726,-0.6682465,0.1724214
0.059213161,-0.6950314,0.19321,-0.668208,0.1724151
0.064263821,-0.6950558,0.1932361,-0.6681744,0.1724178
0.069318771,-0.695082,0.193262,-0.6681392,0.17242
0.074377537,-0.6951085,0.1932837,-0.6681018,0.1724336
0.079428196,-0.6951233,0.1933007,-0.6680788,0.1724441
0.084482670,-0.6951422,0.1933077,-0.6680567,0.1724456
0.089538097,-0.6951647,0.1933033,-0.6680329,0.172451
0.094593048,-0.695188,0.1932905,-0.6680141,0.1724448
0.099647522,-0.695205,0.1932814,-0.6679938,0.1724647
0.104702950,-0.695229,0.193268,-0.6679703,0.1724745
0.109757423,-0.695249,0.1932582,-0.6679447,0.172504
0.114811897,-0.6952657,0.193242,-0.6679207,0.1725479
0.119866848,-0.6952872,0.1932204,-0.6678847,0.1726249
0.124921799,-0.6953179,0.1932073,-0.6678386,0.1726945
0.129976749,-0.6953525,0.1931912,-0.6677819,0.1727919
0.135031223,-0.6953889,0.1931754,-0.6677247,0.1728843
0.140085697,-0.6954315,0.1931762,-0.667657,0.1729731
0.145141125,-0.6954718,0.1931792,-0.6675899,0.173067
0.150195599,-0.6955166,0.1931895,-0.6675203,0.1731431
0.155250549,-0.6955725,0.1931879,-0.6674493,0.1731947
0.160305023,-0.6956297,0.1931698,-0.6673937,0.1731997
0.165360451,-0.6956835,0.1931287,-0.6673594,0.1731613
0.170414925,-0.6957416,0.1930783,-0.6673401,0.1730589
0.175469399,-0.6958078,0.1930085,-0.6673263,0.1729232
0.180524826,-0.6958761,0.1929191,-0.6673187,0.1727777
0.185579300,-0.6959582,0.1928114,-0.6673062,0.1726158
0.190634251,-0.6960507,0.1926828,-0.6672896,0.1724502
0.195688725,-0.6961507,0.1925346,-0.6672683,0.1722937
0.200744152,-0.6962542,0.1923611,-0.6672531,0.1721288
0.205798626,-0.6963638,0.1921631,-0.6672356,0.171974
0.210853577,-0.6964735,0.1919467,-0.6672155,0.1718492
0.213380814,-0.6965325,0.1918319,-0.6672037,0.1717842
0.218435764,-0.6966572,0.1915943,-0.6671707,0.1716717
0.223490715,-0.6967698,0.1913465,-0.6671495,0.1715737
0.228545189,-0.696883,0.1910862,-0.6671261,0.1714955
0.233599663,-0.6969959,0.1908391,-0.667092,0.1714443
0.238655090,-0.6970992,0.1906063,-0.6670505,0.1714447
0.243709564,-0.6972026,0.19038,-0.666999,0.171476
0.248764515,-0.697312,0.190158,-0.666934,0.1715303
0.253819943,-0.6974187,0.1899546,-0.6668567,0.171622
0.258874416,-0.6975235,0.1897682,-0.6667731,0.1717272
0.263928890,-0.6976311,0.1895884,-0.66668,0.1718505
0.268983841,-0.6977473,0.1894159,-0.666578,0.1719645
0.274038792,-0.6978797,0.1892358,-0.6664662,0.1720586
0.279093742,-0.6980309,0.1890523,-0.6663478,0.1721058
0.284148216,-0.698201,0.1888566,-0.6662299,0.1720871
0.289202690,-0.6983997,0.1886364,-0.6660999,0.1720258
0.294258118,-0.6986035,0.1883913,-0.6659928,0.1718811
0.299312592,-0.6988366,0.1881134,-0.665887,0.171648
0.304367542,-0.6990824,0.1877938,-0.665804,0.1713181
0.309422493,-0.6993523,0.1874151,-0.665737,0.1708915
0.314477444,-0.6996366,0.1869842,-0.6656891,0.1703859
0.319531918,-0.6999254,0.1865221,-0.6656532,0.1698456
0.324586392,-0.7002174,0.1860395,-0.6656222,0.1692919
0.329641819,-0.7005083,0.1855479,-0.6655928,0.1687424
0.334696293,-0.7007874,0.1850203,-0.6655825,0.1682028
0.339751244,-0.7010602,0.1844566,-0.6655874,0.1676642
0.344805718,-0.7013156,0.1838694,-0.665624,0.1670951
0.349861145,-0.7015464,0.1832714,-0.6656781,0.1665673
0.354915619,-0.7017521,0.1826749,-0.6657548,0.1660489
0.359970093,-0.7019261,0.1820703,-0.6658605,0.165553
0.365025520,-0.7020816,0.1814567,-0.6659888,0.1650506
0.370080471,-0.7022305,0.1808367,-0.6661292,0.1645299
0.375134945,-0.7023787,0.1802071,-0.6662775,0.1639861
0.380189419,-0.7025222,0.1795561,-0.6664445,0.1634064
0.385244846,-0.7026762,0.1788956,-0.6666104,0.1627905
0.390299320,-0.7028332,0.1782187,-0.6667871,0.1621303
0.395354271,-0.7029899,0.1775138,-0.6669825,0.1614186
0.400408745,-0.7031478,0.176812,-0.6671746,0.1607065
0.405464172,-0.7033119,0.1761179,-0.6673564,0.1599942
0.410518646,-0.7034726,0.1754425,-0.6675314,0.1592973
0.415573120,-0.7036284,0.1747883,-0.6677004,0.158619
0.420628548,-0.7037872,0.1741674,-0.6678477,0.1579759
0.425683022,-0.7039486,0.1735775,-0.6679671,0.1574008
0.430737972,-0.7041017,0.173024,-0.6680669,0.1569009
0.435792446,-0.7042553,0.1725042,-0.6681377,0.1564814
0.440847874,-0.7044109,0.1720159,-0.6681756,0.1561564
0.443375111,-0.7044865,0.1717836,-0.6681863,0.1560249
0.448429585,-0.7046551,0.1713335,-0.6681739,0.1558117
0.453484535,-0.7048265,0.1709033,-0.6681449,0.1556334
0.458539486,-0.7050084,0.1704904,-0.668098,0.1554638
0.463594437,-0.7052013,0.170086,-0.6680452,0.1552585
0.468648911,-0.7054064,0.169677,-0.6679845,0.1550352
0.473703385,-0.7056329,0.1692527,-0.6679238,0.1547292
0.478758812,-0.7058792,0.1687969,-0.6678671,0.1543476
0.483813286,-0.7061377,0.1683045,-0.667831,0.153859
0.488868237,-0.7064186,0.1677546,-0.6678061,0.1532773
0.493923187,-0.7067224,0.1671453,-0.6677961,0.1525836
0.498978138,-0.7070411,0.1664769,-0.667802,0.1518108
0.504032612,-0.707377,0.1657506,-0.6678043,0.1510284
0.509087086,-0.7077249,0.1649674,-0.6678161,0.1502014
0.514142513,-0.7080753,0.1641419,-0.6678342,0.1493717
0.519197464,-0.7084302,0.163282,-0.667854,0.1485408
0.524251938,-0.7087827,0.162404,-0.6678768,0.1477169
0.529306412,-0.7091316,0.161516,-0.6678956,0.1469287
0.534361839,-0.7094844,0.1606253,-0.6679032,0.1461662
0.539416313,-0.7098371,0.1597306,-0.6679106,0.1453973
0.544471264,-0.7101875,0.1588285,-0.6679261,0.1446018
0.549526215,-0.7105479,0.1579214,-0.6679354,0.143779
0.554581165,-0.71092,0.1570027,-0.667937,0.142936
0.559635639,-0.7112989,0.1560723,-0.6679338,0.1420831
0.564690113,-0.7116987,0.1551195,-0.6679103,0.141233
0.569745541,-0.7121163,0.1541625,-0.6678629,0.1403962
0.574800014,-0.7125352,0.1532009,-0.667798,0.1396305
0.579854965,-0.7129669,0.1522215,-0.6677114,0.1389104
0.584909439,-0.7133901,0.1512254,-0.6676282,0.1382235
0.589964867,-0.7138091,0.1501877,-0.6675565,0.1375366
0.595019340,-0.7142152,0.1491689,-0.6674833,0.1368909
0.600073814,-0.714591,0.148188,-0.6674188,0.1363079
0.605129242,-0.7149543,0.1472478,-0.6673426,0.1357937
0.610186100,-0.7152921,0.1463418,-0.6672778,0.1353121
0.615238666,-0.7156128,0.145445,-0.6672176,0.1348796
0.620293140,-0.7159277,0.1445481,-0.6671637,0.1344382
0.625348568,-0.71625,0.1436203,-0.6671072,0.1339954
0.630403042,-0.7165761,0.1426609,-0.6670637,0.1334932
0.635457992,-0.7168893,0.14166,-0.6670589,0.1328998
0.640512466,-0.7172077,0.1405989,-0.6670766,0.1322177
0.645567894,-0.7175217,0.1395139,-0.6671094,0.131496
0.650622368,-0.7178294,0.1384206,-0.6671594,0.130716
0.655676842,-0.7181404,0.1373287,-0.6672031,0.1299336
