Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.207267284,-0.543304,-1.190552,1.567963,-1.042763,-0.09640895,-0.07870458,54.52189,4.965569,-8.621555,1002.205
0.212322712,-0.8497918,-0.9481647,1.629198,-1.041707,-0.09844206,-0.07158492,54.52189,4.965569,-8.621555,1002.205
0.217378140,-1.094982,-1.554133,1.506728,-1.043598,-0.1028766,-0.07024349,54.52189,4.965569,-8.621555,1002.205
0.219905853,-1.094982,-1.43294,1.629198,-1.047003,-0.1029614,-0.0687772,54.52189,4.965569,-8.621555,1002.205
0.224961281,-1.585363,-1.61473,1.567963,-1.045445,-0.10168,-0.05487551,54.52189,4.965569,-8.621555,1002.205
0.230016708,-1.769255,-2.160102,1.384258,-1.044008,-0.1035062,-0.06115929,54.52189,4.965569,-8.621555,1002.205
0.235071659,-2.137041,-2.038908,1.261788,-1.043765,-0.115383,-0.04757959,54.52189,4.965569,-8.621555,1002.205
0.240127087,-2.014446,-2.099505,1.384258,-1.041902,-0.1094683,-0.0503194,54.52189,4.965569,-8.621555,1002.205
0.245182514,-1.953148,-2.220699,1.261788,-1.041361,-0.1114611,-0.04654513,54.88386,5.345317,-8.625113,1002.205
0.250237942,-1.462767,-1.43294,1.629198,-1.033482,-0.1109706,-0.03703207,54.88386,5.345317,-8.625113,1002.205
0.255292893,-0.8497918,-0.7663741,1.751668,-1.035984,-0.1128059,-0.04758765,54.88386,5.345317,-8.625113,1002.205
0.260348320,-0.7271967,-0.7663741,1.567963,-1.040893,-0.1166533,-0.05673534,54.88386,5.345317,-8.625113,1002.205
0.265403748,-0.6046016,-0.7057772,1.323023,-1.034034,-0.117527,-0.05490736,54.88386,5.345317,-8.625113,1002.205
0.270459175,-0.7271967,-0.281599,1.323023,-1.039348,-0.1201081,-0.05157146,54.88386,5.345317,-8.625113,1002.205
0.275514126,-0.6046016,-0.281599,1.078083,-1.037939,-0.1109323,-0.04512778,54.88386,5.345317,-8.625113,1002.205
0.280569553,0.1309693,-0.03921154,1.139318,-1.04,-0.1069579,-0.05314609,54.88386,5.345317,-8.625113,1002.205
0.285624981,0.5600522,0.08198221,1.323023,-1.039626,-0.104834,-0.06458574,54.88386,5.345317,-8.625113,1002.205
0.290679932,0.9278376,-0.3421959,1.506728,-1.033238,-0.1095579,-0.06620245,54.88386,5.345317,-8.625113,1002.205
0.295735359,0.9891351,0.02138533,1.629198,-1.035067,-0.1122026,-0.05428353,54.87043,5.714589,-9.074808,1002.205
0.300790787,1.295623,0.1425791,1.445493,-1.033104,-0.1131389,-0.05432589,54.87043,5.714589,-9.074808,1002.205
0.305846214,1.663408,0.3243697,1.384258,-1.034227,-0.1047905,-0.06080564,54.87043,5.714589,-9.074808,1002.205
0.310901165,1.847301,0.8697416,1.323023,-1.030875,-0.09651574,-0.05679701,54.87043,5.714589,-9.074808,1002.205
0.315956593,1.908599,0.8091447,1.261788,-1.034791,-0.1027554,-0.06745113,54.87043,5.714589,-9.074808,1002.203
0.321012020,1.786003,0.6273541,1.506728,-1.035871,-0.09496398,-0.06915794,54.87043,5.714589,-9.074808,1002.203
0.326067448,1.479516,0.6879509,1.506728,-1.037264,-0.1051195,-0.0751479,54.87043,5.714589,-9.074808,1002.203
0.331122398,1.540813,0.4455635,1.629198,-1.037769,-0.1036695,-0.07510628,54.87043,5.714589,-9.074808,1002.203
0.336177826,1.11173,0.8091447,1.506728,-1.040694,-0.1056341,-0.07752233,54.87043,5.714589,-9.074808,1002.203
0.341233254,1.234325,0.8697416,1.506728,-1.036243,-0.1061375,-0.07087465,54.88774,4.974496,-9.073557,1002.203
0.346288204,0.9278376,0.5061603,1.384258,-1.037758,-0.09607189,-0.0624657,54.88774,4.974496,-9.073557,1002.203
0.351343632,0.9891351,0.6879509,1.506728,-1.041159,-0.0952123,-0.05906043,54.88774,4.974496,-9.073557,1002.203
0.356399059,0.86654,0.6273541,1.261788,-1.041181,-0.09326697,-0.05901079,54.88774,4.974496,-9.073557,1002.201
0.361454487,0.7439449,0.3849666,1.323023,-1.044147,-0.09229939,-0.06230943,54.88774,4.974496,-9.073557,1002.201
0.366509438,0.8052425,0.8091447,1.139318,-1.043017,-0.1035163,-0.05925391,54.88774,4.974496,-9.073557,1002.201
0.371564865,0.3761595,0.8091447,1.200553,-1.037706,-0.09997668,-0.06160792,54.88774,4.974496,-9.073557,1002.201
0.376620293,0.4374571,0.8697416,0.8943781,-1.042607,-0.09860151,-0.0620054,54.88774,4.974496,-9.073557,1002.201
0.381675720,0.3761595,0.6879509,1.139318,-1.039042,-0.1126203,-0.06383164,54.88774,4.974496,-9.073557,1002.201
0.386730671,-0.05292344,0.6879509,1.078083,-1.033285,-0.1037573,-0.06366082,54.88774,4.974496,-9.073557,1002.201
0.391786099,0.1922668,0.6273541,1.323023,-1.038731,-0.1013338,-0.06977154,54.89252,4.97527,-8.624489,1002.201
0.396841526,0.4987546,0.8697416,1.261788,-1.038727,-0.1013408,-0.069293,54.89252,4.97527,-8.624489,1002.201
