Time (s),Power (dBm),Percentage (%)
54.824617386,-45,100
55.224733353,-43,100
55.625876903,-37,100
56.229979992,-41,100
56.630350590,-45,100
57.235614300,-41,100
57.639902592,-47,100
58.245076656,-39,100
58.646131992,-51,98
59.250069141,-45,100
59.649864197,-47,100
60.251306534,-43,100
60.655595303,-47,100
61.259532452,-45,100
61.659330845,-43,100
62.260770321,-43,100
62.665428162,-47,100
63.266003132,-45,100
63.666271210,-47,100
64.270233631,-44,100
64.669881344,-49,100
65.275466442,-44,100
65.679755211,-41,100
66.279696941,-41,100
66.680990219,-53,94
67.289918900,-47,100
67.690214157,-44,100
68.291156292,-47,100
68.695445061,-43,100
69.300367355,-47,100
69.699860573,-39,100
70.305611134,-37,100
70.709707737,-39,100
71.309557438,-39,100
71.710254192,-39,100
72.310424805,-41,100
72.714371681,-41,100
73.314845562,-39,100
73.715609550,-39,100
74.319546700,-39,100
74.719620705,-41,100
75.320786476,-43,100
75.725072861,-41,100
76.324789047,-45,100
76.726310730,-49,100
77.130599499,-47,100
77.739527702,-49,100
78.139910221,-47,100
78.741095066,-43,100
79.145053864,-43,100
79.749623775,-47,100
80.149845123,-43,100
80.755222320,-53,94
81.154993534,-45,100
81.755462170,-53,94
82.155755043,-53,94
82.759691715,-45,100
83.159464359,-43,100
83.760930061,-49,100
84.160410881,-49,100
84.764469624,-45,100
85.165460587,-53,94
85.769397736,-41,100
86.169690132,-45,100
86.770632744,-45,100
87.175845623,-47,100
87.774865150,-45,100
88.174752712,-51,98
88.775841236,-53,94
89.176000595,-39,100
89.779317856,-45,100
90.178841114,-41,100
90.784568310,-53,94
91.184689999,-47,100
91.785808563,-39,100
92.185103416,-47,100
92.789040565,-45,100
93.189568996,-41,100
93.790277958,-39,100
94.190117836,-39,100
94.794176578,-37,100
95.194423676,-39,100
95.799741745,-39,100
96.199548721,-41,100
96.800979137,-39,100
97.205267906,-41,100
97.804658890,-41,100
98.206506729,-41,100
98.815438747,-39,100
99.214731216,-39,100
99.815679550,-41,100
100.220960140,-39,100
100.824897289,-39,100
101.229186058,-41,100
101.628665447,-41,100
102.230423927,-41,100
102.634712219,-41,100
103.235656738,-41,100
103.635908127,-41,100
104.235517025,-43,100
104.639184475,-43,100
105.245117664,-45,100
105.650404930,-51,98
106.249350548,-45,100
106.650643825,-45,100
107.259572029,-45,100
107.659867287,-49,100
108.260809898,-47,100
108.665098667,-43,100
109.265004158,-45,100
109.669331074,-37,100
110.268588066,-39,100
110.670383453,-45,100
111.274494648,-47,100
111.673802853,-45,100
112.274745464,-45,100
112.674819469,-39,100
113.275983334,-37,100
113.680271625,-45,100
114.284941197,-49,100
114.685164928,-49,100
115.289468288,-39,100
115.694726467,-45,100
116.294534206,-41,100
116.695964336,-43,100
117.304893017,-45,100
117.709181309,-53,94
118.308984280,-45,100
118.710419178,-47,100
119.314995766,-39,100
119.714546680,-43,100
120.320585251,-43,100
120.724873066,-53,94
121.129161835,-45,100
121.729872703,-55,90
122.130399227,-44,100
122.739327908,-43,100
123.139357567,-39,100
123.740565777,-41,100
124.144854069,-39,100
124.744472027,-43,100
125.146091938,-43,100
125.755020142,-43,100
126.159310818,-41,100
126.758982181,-41,100
127.159359932,-41,100
127.759940624,-41,100
128.160379887,-43,100
128.764330864,-41,100
129.170011997,-41,100
129.769439697,-43,100
130.170251846,-39,100
130.775185108,-47,100
131.174826622,-37,100
131.778941154,-47,100
132.179315090,-57,86
132.784648418,-47,100
133.184329033,-53,94
133.785886288,-47,100
134.190174580,-49,100
134.794111729,-45,100
135.193877220,-47,100
135.795349598,-51,98
136.199637890,-43,100
136.799501419,-57,86
137.200808048,-47,100
137.804812908,-43,100
138.204110146,-47,100
138.805052280,-45,100
139.205257416,-49,100
139.809285164,-62,76
140.208786488,-53,94
140.814515591,-57,86
141.214762688,-47,100
141.815753460,-47,100
142.220041752,-42,100
142.625208855,-47,100
143.229265690,-47,100
143.628751278,-59,82
144.234531403,-45,100
144.639771938,-43,100
145.245717049,-43,100
145.650005340,-43,100
146.258934021,-43,100
146.659229278,-41,100
147.260171413,-43,100
147.664460182,-45,100
148.264403820,-49,100
148.665698051,-53,94
149.274628162,-47,100
149.678914070,-41,100
150.278858662,-41,100
150.680151939,-45,100
151.289080620,-41,100
151.689376354,-43,100
152.290318012,-49,100
152.694609165,-39,100
153.294551373,-45,100
153.698851108,-41,100
154.304772854,-45,100
154.709063530,-47,100
155.309005261,-45,100
155.710299015,-45,100
156.315156937,-49,100
156.714533329,-43,100
157.315474033,-47,100
157.715497971,-41,100
158.319615841,-41,100
158.718990803,-47,100
159.319946289,-41,100
159.724234581,-53,94
160.324075699,-43,100
160.724477768,-47,100
161.325042248,-45,100
161.728706837,-53,94
162.128849506,-49,100
162.729944706,-45,100
163.129815578,-45,100
163.733987808,-43,100
164.134089470,-41,100
164.739408016,-37,100
165.139333725,-45,100
165.740645885,-45,100
166.144934177,-39,100
166.753862858,-39,100
167.154164791,-39,100
167.755100727,-51,98
168.157392502,-39,100
168.758335113,-45,100
