Time (s),Power (dBm),Percentage (%)
0.204970837,-51,98
0.805930614,-53,94
1.205756664,-47,100
1.809811592,-49,100
2.210158348,-47,100
2.815393925,-39,100
3.215188026,-63,74
3.816631794,-49,100
4.220920086,-53,94
4.820329666,-59,82
5.222147465,-59,82
5.626446724,-62,76
6.230382919,-65,70
6.631679535,-57,86
7.236612320,-60,80
7.640900612,-69,62
8.245224953,-67,66
8.644595146,-65,70
9.246075630,-69,62
9.650363922,-69,62
10.251311302,-57,86
10.656593323,-59,82
11.260530472,-51,98
11.659831047,-59,82
12.261672020,-51,98
12.665059090,-49,100
13.265002251,-59,82
13.666296482,-51,98
14.275224686,-45,100
14.675519943,-57,86
15.275591850,-53,94
15.680750847,-57,86
16.285686016,-62,76
16.685232639,-61,78
17.290916443,-61,78
17.695205212,-67,66
18.295149803,-65,70
18.695507526,-65,70
19.296134472,-60,80
19.699677467,-62,76
20.299710274,-59,82
20.701509476,-65,70
21.305618286,-59,82
21.704986572,-55,90
22.306091786,-62,76
22.709444523,-59,82
23.310044766,-51,98
23.710505962,-57,86
24.310994148,-57,86
24.714850426,-62,76
25.320600987,-49,100
25.726078033,-59,82
26.325529575,-67,66
26.729952812,-62,76
27.129437923,-63,74
27.730543137,-62,76
28.130438805,-62,76
29.136069298,-69,62
29.740006447,-69,62
30.141300201,-65,70
30.746235371,-62,76
31.145747185,-64,72
31.749854088,-57,86
32.150765896,-65,70
32.755699158,-55,90
33.154996395,-55,90
33.755938530,-45,100
34.156167984,-43,100
34.760170937,-45,100
35.159468174,-51,98
35.760410786,-49,100
36.160585403,-35,100
36.764643192,-43,100
37.164131165,-41,100
37.769874096,-35,100
38.170056820,-45,100
38.770182610,-47,100
39.170409203,-53,94
39.774346352,-43,100
40.174551010,-43,100
40.775584221,-47,100
41.175456524,-51,98
41.779520035,-47,100
42.179702282,-45,100
42.785047531,-39,100
43.184881687,-45,100
43.786285400,-43,100
44.190573692,-44,100
44.790028572,-55,90
45.190557003,-43,100
45.790757656,-49,100
46.190636635,-41,100
46.794338703,-41,100
47.195287705,-43,100
47.799246788,-45,100
48.199543476,-41,100
48.800459862,-41,100
49.200641632,-39,100
49.804693222,-49,100
50.205986023,-53,94
50.814914703,-57,86
51.215162754,-37,100
51.815287590,-45,100
52.215449810,-44,100
52.819386959,-45,100
53.219572544,-43,100
53.820624351,-45,100
54.220514298,-43,100
