Time (s),W,X,Y,Z
0.000000000,-0.06304163,-0.7263989,-0.01473761,0.6817483
0.005055428,-0.06287318,-0.7264303,-0.01489659,0.6817272
0.010110855,-0.06272843,-0.7264591,-0.01504102,0.6817065
0.015166283,-0.06256803,-0.7264922,-0.01518184,0.6816828
0.020221233,-0.06245766,-0.7265276,-0.01528951,0.6816529
0.025276661,-0.06238127,-0.7265617,-0.01538107,0.6816214
0.030332088,-0.06227322,-0.7265925,-0.01549147,0.6815961
0.035387039,-0.06213576,-0.7266338,-0.01560918,0.6815618
0.040442467,-0.06199112,-0.7266719,-0.01571563,0.6815318
0.045497894,-0.06186457,-0.7267149,-0.01581272,0.6814953
0.050553322,-0.06173067,-0.7267478,-0.0159285,0.6814697
0.055608273,-0.06159293,-0.7267737,-0.01603425,0.681452
0.060663700,-0.06143381,-0.726786,-0.01614118,0.6814508
0.065719128,-0.06129546,-0.7268003,-0.01622016,0.6814461
0.070774555,-0.06113504,-0.7268083,-0.01631098,0.6814498
0.075829506,-0.06097855,-0.7268206,-0.01640037,0.6814486
0.080884933,-0.060816,-0.7268168,-0.01650144,0.6814647
0.085940361,-0.06065604,-0.7267901,-0.01660331,0.6815051
0.090995312,-0.06048751,-0.7267537,-0.01670878,0.6815562
0.096050739,-0.06031891,-0.7267143,-0.01681371,0.6816106
0.101106167,-0.06016832,-0.726681,-0.01689022,0.6816575
0.106161594,-0.06004882,-0.7266392,-0.01694259,0.6817114
0.111216545,-0.05993896,-0.7266021,-0.01698873,0.6817594
0.116271973,-0.05983961,-0.7265579,-0.017025,0.6818143
0.121327400,-0.05976782,-0.7265061,-0.01703942,0.6818755
0.126382828,-0.05976497,-0.7264519,-0.01702373,0.6819339
0.131437779,-0.05977144,-0.7263949,-0.01698202,0.6819951
0.136493206,-0.05981364,-0.7263318,-0.01691674,0.6820602
0.141548634,-0.05985661,-0.7262746,-0.01682575,0.6821194
0.146603584,-0.05990676,-0.7262282,-0.01672873,0.6821667
0.151659012,-0.05999632,-0.7261953,-0.01660578,0.682197
0.156714439,-0.0600722,-0.7261699,-0.01648672,0.6822203
0.161769867,-0.06013589,-0.7261442,-0.01637855,0.6822445
0.166824818,-0.06016582,-0.7261276,-0.01628697,0.6822619
0.171880245,-0.06017816,-0.7261094,-0.01621164,0.6822819
0.176935673,-0.06014373,-0.7260951,-0.01615257,0.6823016
0.181991100,-0.0600718,-0.7260888,-0.01611557,0.6823155
0.187046051,-0.05998216,-0.7260777,-0.01609419,0.6823357
0.192101479,-0.05986651,-0.7260819,-0.01608909,0.6823415
0.197156906,-0.05976107,-0.7260836,-0.01604835,0.6823499
0.202212334,-0.05964637,-0.7260756,-0.01602124,0.6823691
0.207267284,-0.05950205,-0.7260588,-0.01601175,0.6823997
0.212322712,-0.05935748,-0.7260337,-0.01600583,0.6824391
0.217378140,-0.05921139,-0.7260028,-0.01601142,0.6824846
0.222433090,-0.0590863,-0.7259624,-0.0160093,0.6825384
0.224961281,-0.05901217,-0.7259368,-0.01601613,0.6825719
0.230016708,-0.05888106,-0.7258763,-0.01603094,0.6826473
0.235071659,-0.05878846,-0.7258071,-0.01604412,0.6827285
0.240127087,-0.05867801,-0.7257391,-0.01605838,0.68281
0.245182514,-0.05854765,-0.7256668,-0.0161042,0.6828969
0.250237942,-0.058453,-0.725604,-0.01610681,0.6829716
0.255292893,-0.05834978,-0.7255657,-0.0160987,0.6830214
0.260348320,-0.05828574,-0.7255371,-0.01607753,0.6830578
0.265403748,-0.05825155,-0.7255106,-0.01605013,0.6830894
0.270459175,-0.05821413,-0.7254914,-0.01602939,0.6831135
0.275514126,-0.05815371,-0.7254681,-0.01602382,0.6831436
0.280569553,-0.05810569,-0.7254527,-0.01600622,0.6831645
0.285624981,-0.05803803,-0.7254528,-0.01597908,0.6831707
0.290679932,-0.05798934,-0.7254497,-0.0159301,0.6831793
0.295735359,-0.05793119,-0.7254434,-0.01589408,0.6831918
0.300790787,-0.05790559,-0.7254379,-0.01585017,0.6832006
0.305846214,-0.05786235,-0.7254385,-0.01581053,0.6832047
0.310901165,-0.05778651,-0.7254567,-0.01577644,0.6831924
0.315956593,-0.05770524,-0.7254794,-0.01574696,0.6831761
0.321012020,-0.05760374,-0.7255027,-0.01572458,0.6831605
0.326067448,-0.05753233,-0.7255284,-0.01568893,0.6831399
0.331122398,-0.05745744,-0.7255464,-0.01565353,0.6831279
0.336177826,-0.05737979,-0.7255762,-0.015624,0.6831034
0.341233254,-0.05732598,-0.725603,-0.01557419,0.6830807
0.346288204,-0.05725348,-0.7256206,-0.01552121,0.6830693
0.351343632,-0.0571715,-0.7256386,-0.01547226,0.6830582
0.356399059,-0.05708474,-0.7256522,-0.01543372,0.6830518
0.361454487,-0.05698489,-0.7256619,-0.01540096,0.6830505
0.366509438,-0.05693109,-0.7256794,-0.01535377,0.6830375
0.371564865,-0.05687524,-0.7257026,-0.01531382,0.6830184
0.376620293,-0.05682163,-0.7257271,-0.01528424,0.6829975
0.381675720,-0.05679737,-0.7257476,-0.0152398,0.6829787
0.386730671,-0.05675702,-0.7257737,-0.01520893,0.6829551
0.391786099,-0.05667406,-0.7257978,-0.01518626,0.6829369
0.396841526,-0.05662753,-0.7258258,-0.01514354,0.6829118
0.401896954,-0.05664504,-0.7258525,-0.01506908,0.6828837
0.406951904,-0.0566823,-0.7258702,-0.01498235,0.6828637
0.412007809,-0.05670157,-0.7258884,-0.01490866,0.6828443
0.417063236,-0.05672906,-0.7259095,-0.01481812,0.6828215
0.422122479,-0.0567659,-0.7259353,-0.01472574,0.6827931
0.427174091,-0.0568027,-0.7259504,-0.01462048,0.6827763
0.432229042,-0.05686334,-0.7259675,-0.0145087,0.6827555
0.437284470,-0.05688285,-0.7259815,-0.01441464,0.6827409
0.442339897,-0.05690887,-0.7259975,-0.01431652,0.6827236
0.447394848,-0.05691434,-0.726011,-0.01422234,0.6827109
0.452450276,-0.05694343,-0.7260259,-0.01412488,0.6826947
0.454977512,-0.05693073,-0.7260346,-0.01408888,0.6826872
0.460032940,-0.05691735,-0.7260392,-0.01400656,0.6826852
0.465088368,-0.05688001,-0.7260258,-0.0139331,0.6827041
0.470143795,-0.05685833,-0.7260077,-0.01384411,0.6827269
0.475198746,-0.05684047,-0.7259819,-0.01374506,0.6827578
