Time (s),Power (dBm),Percentage (%)
123.719106674,-57,86
124.122383117,-57,86
124.723316193,-57,86
125.126593590,-55,90
125.732518673,-53,94
126.136791229,-53,94
126.737723827,-55,90
127.138950825,-59,82
127.741932869,-61,78
128.143213272,-62,76
128.747140408,-55,90
129.147422313,-53,94
129.751440048,-53,94
130.151722908,-55,90
130.753653049,-51,98
131.156929970,-59,82
131.757862091,-55,90
132.159089565,-57,86
132.761290073,-51,98
133.161208153,-67,66
133.762400627,-60,80
134.162683010,-55,90
134.766610146,-51,98
135.166892052,-51,98
135.768822670,-53,94
136.172099590,-53,94
136.773031712,-53,94
137.174247265,-55,90
137.777241230,-53,94
138.181537628,-55,90
138.782448292,-55,90
139.182730675,-53,94
139.786657333,-59,82
140.186942100,-51,98
140.791517734,-60,80
141.192146778,-57,86
141.793079376,-55,90
142.196801185,-60,80
142.797288418,-62,76
143.198568821,-57,86
143.802495956,-57,86
144.202777862,-61,78
144.806704998,-61,78
145.206989765,-62,76
145.810914993,-69,62
146.212194919,-53,94
146.612481594,-49,100
147.216408729,-51,98
