Time (s),Power (dBm),Percentage (%)
0.212769508,-45,100
0.813701630,-53,94
1.214928627,-51,98
1.618232250,-49,100
2.219191551,-47,100
2.619477272,-45,100
3.223400593,-53,94
3.624684811,-65,70
4.228435516,-60,80
4.628893852,-57,86
5.229826450,-65,70
5.633102894,-65,70
6.234038353,-73,54
6.635316372,-60,80
7.239243507,-71,58
7.439834118,-75,50
8.243452549,-73,54
8.644737720,-65,70
9.247661590,-60,80
9.648941994,-61,78
10.249874592,-67,66
10.651154518,-61,78
11.254085541,-57,86
11.657360077,-53,94
12.259291172,-62,76
12.662751675,-59,82
13.263500213,-49,100
13.664750099,-59,82
14.267709255,-51,98
14.668989658,-63,74
15.272916794,-62,76
15.673372269,-65,70
16.277637482,-62,76
16.677581310,-65,70
17.279512405,-62,76
17.679794311,-71,58
18.283721447,-60,80
18.688994408,-55,90
19.292921543,-65,70
19.694202423,-63,74
20.298129558,-58,84
20.698411465,-53,94
21.302338600,-55,90
21.702620506,-53,94
22.304551124,-57,86
22.707886696,-51,98
23.308818817,-44,100
23.709143639,-51,98
24.313068390,-43,100
24.714348793,-49,100
25.114634990,-39,100
25.718557835,-43,100
26.122366905,-47,100
26.722766876,-55,90
27.124051571,-65,70
27.724979877,-62,76
28.128260612,-75,50
28.732573509,-59,82
29.132472038,-75,50
29.734396934,-67,66
30.137677192,-65,70
30.738605976,-71,58
31.141887188,-69,62
31.742815018,-67,66
31.943453312,-65,70
32.748022556,-57,86
33.148308277,-53,94
33.752231598,-55,90
34.152518272,-57,86
34.754444599,-55,90
35.157913685,-49,100
35.758842468,-47,100
36.160080433,-59,82
36.763051510,-62,76
37.167550564,-49,100
37.768490314,-57,86
38.168834209,-59,82
38.772757530,-69,62
39.173046112,-71,58
39.777591705,-53,94
40.178250789,-51,98
40.779179573,-55,90
41.182459831,-55,90
41.783388615,-59,82
42.184746265,-59,82
42.788671017,-45,100
43.188955307,-39,100
43.792878628,-49,100
44.193183422,-45,100
44.797104359,-51,98
45.198501110,-51,98
45.799429417,-43,100
46.202710151,-51,98
46.803638458,-47,100
47.204923153,-55,90
47.807847500,-49,100
48.212173462,-58,84
48.813055038,-51,98
49.214120865,-51,98
49.616618156,-51,98
50.218548775,-49,100
50.618830681,-51,98
51.222831726,-51,98
51.623116493,-53,94
52.227040767,-53,94
52.627325535,-51,98
53.229253769,-51,98
53.632530212,-51,98
54.233462810,-53,94
54.634852886,-53,94
55.238780021,-53,94
55.642132282,-51,98
56.242989063,-53,94
56.643273353,-53,94
57.247198105,-47,100
57.648478508,-49,100
58.249607086,-53,94
58.650835514,-53,94
59.253816128,-49,100
59.657846451,-49,100
60.259023666,-59,82
60.659305572,-59,82
61.263232708,-51,98
61.663529396,-49,100
62.267454624,-57,86
62.668734550,-51,98
63.272580147,-51,98
63.672972679,-51,98
64.273904800,-57,86
64.677181721,-49,100
65.279122352,-51,98
65.679394245,-49,100
66.283321380,-51,98
66.683603764,-51,98
67.287531376,-53,94
67.688810825,-55,90
68.292633533,-49,100
68.693020821,-59,82
69.293952465,-49,100
69.695319652,-51,98
70.299226761,-47,100
70.702528953,-57,86
71.303455829,-51,98
71.703737736,-55,90
72.307664871,-57,86
72.708945751,-49,100
73.309877872,-59,82
73.710286140,-51,98
74.113566398,-51,98
74.717486858,-58,84
75.118771553,-53,94
75.722681522,-57,86
76.122980594,-57,86
76.723913193,-59,82
77.127190113,-59,82
77.733116150,-60,80
78.137388706,-60,80
78.738321304,-59,82
79.138605594,-57,86
79.742530346,-55,90
80.143810749,-55,90
80.746739864,-61,78
81.148019790,-60,80
81.751946926,-55,90
82.152229309,-53,94
82.754159927,-55,90
83.157436371,-60,80
83.758368969,-47,100
84.158653736,-53,94
84.762578011,-57,86
85.163858414,-49,100
85.767746448,-53,94
86.168067455,-53,94
86.769000053,-61,78
87.172276497,-55,90
87.777189255,-49,100
88.177484512,-51,98
88.778416634,-57,86
89.181693554,-53,94
89.782625675,-53,94
90.183906555,-63,74
90.787775516,-53,94
91.188144684,-53,94
91.792071819,-53,94
92.192353725,-51,98
92.796280861,-53,94
93.197772026,-51,98
93.798704624,-59,82
94.202111721,-53,94
94.803044319,-53,94
95.204325199,-51,98
95.808177948,-57,86
96.208534241,-51,98
96.812461376,-51,98
97.212743282,-53,94
97.614027500,-57,86
98.217950821,-49,100
98.618236542,-53,94
99.222159862,-53,94
99.622448444,-61,78
100.227120399,-60,80
100.627768516,-59,82
101.228697300,-57,86
101.631977558,-59,82
102.232906341,-62,76
102.634191036,-60,80
103.238113880,-64,72
103.638400078,-60,80
104.242463589,-61,78
104.642747402,-62,76
105.246670723,-61,78
105.647955418,-59,82
106.249297142,-59,82
106.650098324,-61,78
107.253092766,-65,70
107.657111168,-60,80
108.258299827,-53,94
108.658586502,-61,78
109.262509346,-51,98
109.662797928,-53,94
110.264721870,-55,90
110.665008545,-53,94
111.271843433,-57,86
111.672218800,-51,98
112.273147583,-60,80
112.676427841,-53,94
113.278359890,-59,82
113.678640842,-57,86
114.282632828,-57,86
114.682927132,-57,86
115.286849975,-53,94
115.688134193,-60,80
116.291961670,-57,86
116.692343235,-57,86
117.293272018,-53,94
117.694556236,-55,90
118.298477173,-57,86
118.701760292,-51,98
119.302688598,-61,78
119.702974319,-57,86
120.306897640,-53,94
120.708182335,-53,94
121.309110641,-63,74
121.709692001,-59,82
122.112966537,-57,86
122.716893673,-51,98
123.118174076,-51,98
