Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.202904701,-2.228734,2.772182,-1.823606,0.1205663,0.8968042,-0.3809398,-14.88982,-47.78677,14.36397,1001.999
0.207914829,-1.921854,2.469535,-1.823606,0.121017,0.8957205,-0.3761718,-14.88982,-47.78677,14.36397,1001.999
0.212924480,-2.228734,2.651124,-1.945878,0.1210572,0.893293,-0.3767442,-14.88982,-47.78677,14.36397,1001.999
0.217934608,-1.921854,2.711653,-1.823606,0.121644,0.8900119,-0.382149,-13.75483,-47.38465,14.38594,1001.999
0.222945213,-1.492223,2.590594,-1.884742,0.1215866,0.8908839,-0.3777919,-13.75483,-47.38465,14.38594,1001.999
0.227955341,-0.8170888,2.409006,-1.76247,0.1250209,0.8890168,-0.3792721,-13.75483,-47.38465,14.38594,1001.999
0.232964992,-0.9398406,2.469535,-1.579063,0.1201876,0.8884696,-0.3798189,-13.75483,-47.38465,14.38594,1001.999
0.237975120,-0.3874578,2.166888,-1.640199,0.1202664,0.8871445,-0.3856345,-13.75483,-47.38465,14.38594,1001.999
0.242985248,-0.1419544,1.864241,-1.273384,0.1245351,0.8935498,-0.3853507,-13.75483,-47.38465,14.38594,1001.999
0.247995853,0.0421732,1.561594,-1.151112,0.1216419,0.8915215,-0.3840136,-13.75483,-47.38465,14.38594,1001.999
0.253005504,-0.2647061,1.561594,-0.9065686,0.120231,0.8895835,-0.3855421,-13.75483,-47.38465,14.38594,1001.999
0.258015632,-0.5715854,1.440535,-0.8454328,0.1176668,0.8982942,-0.3837934,-13.75483,-47.38465,14.38594,1001.999
0.263025284,-1.062592,1.258947,-1.02884,0.1171856,0.8922375,-0.3758598,-13.75483,-47.38465,14.38594,1001.999
0.268035412,-1.492223,1.137888,-0.784297,0.1132456,0.8955611,-0.3743289,-14.12053,-47.7656,13.91887,1001.999
0.273046017,-1.185344,1.016829,-0.9065686,0.1119178,0.8902891,-0.379347,-14.12053,-47.7656,13.91887,1001.999
0.278056145,-1.123968,0.8957703,-0.784297,0.1098886,0.8900419,-0.3702459,-14.12053,-47.7656,13.91887,1001.999
0.283065796,-0.6943371,0.7747114,-0.784297,0.1074283,0.892945,-0.3706392,-14.12053,-47.7656,13.91887,1001.999
0.288075924,-0.1419544,0.6536525,-0.6620253,0.1158318,0.8884174,-0.3803424,-14.12053,-47.7656,13.91887,1001.999
0.293086052,0.1649249,0.4720642,-0.6008895,0.1162633,0.8872877,-0.3736543,-14.12053,-47.7656,13.91887,1001.997
0.298096657,0.5331801,0.1694171,-0.417482,0.1168364,0.8870028,-0.3818282,-14.12053,-47.7656,13.91887,1001.997
